Vintage,Score,Drink Window,Description,Country,Region,Variety,Vola_Temp,Vola_Rain,Longest_Dry,Longest_Wet,Avg_Rain,Count_above35,Count_under10,Count_under0,Coulure_Wind,June_Rain
2019,95,Hold,"A benchmark vintage for California Pinot, with wines showing power, finesse and the structure for cellaring; moderate temperatures and an even-keeled season led to a leisurely harvest, while crop size was on the lower side  Aubert Pinot Noir Sonoma Coast UV-SL Vineyard  Top-scoring wines (click for full tasting note):


Paul Hobbs Pinot Noir Sonoma Coast Goldrock Estate


Rivers-Marie Pinot Noir Sonoma Coast Summa Old Vines


Aubert Pinot Noir Sonoma Coast UV-SL Vineyard",United States,California,Pinot Noir,0.2647910654389398,4.809331346443251,79.0,3.0,0.2640893470790378,70.0,51.0,0.0,11.633602150537634,34.58333333333333
2018,91,Drink or hold,"Nearly perfect conditions resulted in fruit-driven and very expressive Pinots, yet the huge crop load means wines have notably less structure and energy than 2019  Brewer-Clifton Pinot Noir Sta. Rita Hills Machado  Top-scoring wines (click for full tasting note):


Ceritas Pinot Noir Sonoma Coast Occidental


Aubert Pinot Noir Sonoma Coast UV Vineyard


Brewer-Clifton Pinot Noir Sta. Rita Hills Machado",United States,California,Pinot Noir,0.2615499687601356,5.587664440386221,45.0,3.0,0.4328178694158076,78.0,42.0,1.0,12.32217741935484,14.433333333333334
2017,88,Drink or hold,"Spring rains, a warm summer and a September heat wave yielded wines that are showy up front, but mostly lack structure; only Santa Lucia Highlands bucked the trend  Blue Farm Pinot Noir Sonoma Valley Anne Katherina Vineyard Farmhouse  Top-scoring wines (click for full tasting note):


Arista Pinot Noir Russian River Valley Harper's Rest


Aubert Pinot Noir Sonoma Coast UV-SL Vineyard


Blue Farm Pinot Noir Sonoma Valley Anne Katherina Vineyard Farmhouse",United States,California,Pinot Noir,0.2657071338176475,6.550837231397126,80.0,3.0,0.3621993127147766,87.0,50.0,0.0,11.721155913978494,1.1
2016,92,Drink or hold,"Multiyear drought ends as winter rains return; a warm spring and moderate summer delivered elegant wines  Ferren Pinot Noir Sonoma Coast Frei Road Vineyard  Top-scoring wines (click for full tasting note):


Brewer-Clifton Pinot Noir Sta. Rita Hills Machado


Donum Pinot Noir Russian River Valley Single Vineyard Reserve


Ferren Pinot Noir Sonoma Coast Frei Road Vineyard",United States,California,Pinot Noir,0.2448050203005656,6.160809209330387,100.0,4.0,0.2542955326460481,81.0,49.0,0.0,12.53465053763441,6.383333333333333
2015,89,Drink or hold,"Santa Barbara and Santa Lucia Highlands shine in a year marked by a large crop of tannic wines  Rochioli Pinot Noir Russian River Valley River Block  Top-scoring wines (click for full tasting note):


Aubert Pinot Noir Sonoma Coast UV Vineyard


Brewer-Clifton Pinot Noir Sta. Rita Hills Machado


Rochioli Pinot Noir Russian River Valley River Block",United States,California,Pinot Noir,0.2211011450393294,4.312692853847063,43.0,3.0,0.2788659793814432,66.0,44.0,0.0,11.67266129032258,16.516666666666666
2014,91,Drink,"Even higher yields than 2013, with fleshy, forward, showy wines; Santa Lucia Highlands is a step ahead of the pack  Arista Pinot Noir Russian River Valley Mononi Vineyard  Top-scoring wines (click for full tasting note):


Marcassin Pinot Noir Sonoma Coast Marcassin Vineyard


Arista Pinot Noir Russian River Valley Longbow


Arista Pinot Noir Russian River Valley Mononi Vineyard",United States,California,Pinot Noir,0.2291609351015948,4.766039096466208,47.0,5.0,0.12946735395189,81.0,44.0,0.0,11.787849462365596,3.2166666666666663
2013,90,Drink,"Another huge crop of generally high quality; Santa Lucia Highlands is a highlight  Cirq Pinot Noir Russian River Valley Bootlegger's Hill  Top-scoring wines (click for full tasting note):


Boars' View Pinot Noir Sonoma Coast


Brewer-Clifton Pinot Noir Sta. Rita Hills Machado


Cirq Pinot Noir Russian River Valley Bootlegger's Hill",United States,California,Pinot Noir,0.2203683668315828,5.892659379412407,73.0,3.0,0.0891752577319587,67.0,41.0,0.0,12.095537634408602,0.0
2012,89,Drink,Record-size crop with atypically tannic wines; best in Santa Lucia Highlands and Sonoma  (See all ratings),United States,California,Pinot Noir,0.2674981435351364,5.9932910968781306,99.0,4.0,0.3377147766323024,66.0,51.0,2.0,12.495779569892472,0.0
2011,87,Drink,"Rain wreaked havoc at harvest, resulting in lighter wines of uneven quality; Santa Lucia Highlands is the lone bright spot  (See all ratings)",United States,California,Pinot Noir,0.291073461297844,5.249594614621494,42.0,8.0,0.4792096219931271,57.0,73.0,0.0,11.761102150537637,31.366666666666667
2010,91,Drink,"Weather extremes tested growers, yet vintage is strong, with structured wines from Santa Barbara and Sonoma  (See all ratings)",United States,California,Pinot Noir,0.3005917447429586,4.902287776770892,57.0,3.0,0.2126288659793814,53.0,74.0,3.0,12.324596774193548,2.3833333333333333
2009,93,Drink,"Superb in Sonoma and very strong elsewhere, with scores of ripe, polished, deeply flavored wines  (See all ratings)",United States,California,Pinot Noir,0.2626594015672677,4.780483878551645,32.0,3.0,0.1435567010309278,63.0,48.0,0.0,10.881801075268816,9.433333333333334
2008,89,Drink,Uneven year; top wines are complex and delicate  (See all ratings),United States,California,Pinot Noir,0.2763809683017139,6.067261466861891,69.0,4.0,0.038487972508591,79.0,61.0,0.0,11.640940860215055,6.716666666666667
2007,93,Drink,"Excellent year; ideal warm, early season, with ripe, complex wines  (See all ratings)",United States,California,Pinot Noir,0.2383938641150917,5.42024843662769,67.0,3.0,0.1439862542955326,58.0,54.0,0.0,11.728387096774194,0.25
2006,87,Drink,A cool year with a large crop; uneven ripening and some diluted wines  (See all ratings),United States,California,Pinot Noir,0.318432449447506,3.83814179347078,58.0,8.0,0.5374570446735395,58.0,52.0,5.0,11.706881720430108,5.883333333333333
2005,91,Drink,"Sleek, balanced and elegant; large crop that got ripe at lower alcohol  (See all ratings)",United States,California,Pinot Noir,0.3090267516706904,5.306068896217928,35.0,6.0,0.4298969072164949,60.0,77.0,0.0,13.856451612903223,2.45
2004,93,Drink,"Excellent year; warm, early year, with ripe, concentrated, deeply flavored wines  (See all ratings)",United States,California,Pinot Noir,0.2322360665370571,6.007179010349454,40.0,3.0,0.0456185567010309,66.0,69.0,0.0,13.630645161290325,1.7999999999999998
2003,90,Drink,"Very good if mixed; the best are rich, supple and harmonious  (See all ratings)",United States,California,Pinot Noir,0.3054229930348696,4.240300481757317,109.0,4.0,0.320360824742268,74.0,67.0,0.0,12.85483870967742,0.0
2002,88,Drink,"Very good; dark, complex wines that have aged well  (See all ratings)",United States,California,Pinot Noir,0.3098927932727173,5.007151098512872,64.0,3.0,0.0770618556701031,70.0,69.0,7.0,14.055645161290323,5.55
2001,86,Drink,"A solid year with elegant, delicate, concentrated wines  (See all ratings)",United States,California,Pinot Noir,0.266259245021233,6.610673455511071,72.0,3.0,0.211340206185567,69.0,55.0,1.0,13.394354838709676,10.35
2000,83,Past peak,"Lean, crisp wines of good quality, with few stars  (See all ratings)",United States,California,Pinot Noir,0.2446845405473259,7.646988759625188,55.0,3.0,0.1873711340206185,64.0,68.0,0.0,13.746774193548388,7.75
1999,84,Past peak,"Sonoma and Monterey set the pace in a cooler year,with ripe, fleshy wines  (See all ratings)",United States,California,Pinot Noir,0.3150770631522311,4.18626846931748,36.0,4.0,0.1556701030927835,45.0,74.0,6.0,13.060483870967742,4.3
1998,85,Drink,"El Niño conditions resulted in a cool, wet harvest, but Pinot surprised, with some wines still showing well  (See all ratings)",United States,California,Pinot Noir,0.3419653825633124,3.5131345037798463,40.0,5.0,0.7079896907216494,50.0,84.0,2.0,12.856451612903223,42.05
1997,83,Past peak,"Excellent in Sonoma, with ripe, forward wines; leaner elsewhere  (See all ratings)",United States,California,Pinot Noir,0.227225064121483,4.9078913124701335,36.0,3.0,0.0701030927835051,43.0,57.0,0.0,13.652419354838708,6.15
1996,82,Past peak,(See all ratings),United States,California,Pinot Noir,0.2752142992797918,5.624307217441536,71.0,3.0,0.2559278350515464,70.0,67.0,1.0,13.274193548387096,7.6
2021,91–94,NYR,"Intense June heat spike failed to dampen an otherwise excellent vintage; Pinots are perfumed, fresh and vibrant  Alexana Pinot Noir Eola-Amity Hills Zena Crown Vineyard  Top-scoring wines (click for full tasting note):


Beaux Frères Pinot Noir Ribbon Ridge The Upper Terrace


Alexana Pinot Noir Dundee Hills Single Clone Pommard


Alexana Pinot Noir Eola-Amity Hills Zena Crown Vineyard",United States,Oregon,Pinot Noir,0.4933008476928653,3.46921378881125,19.0,8.0,0.5488659793814433,20.0,144.0,50.0,11.797419354838713,39.36
2020,88,Drink or hold,"Promising vintage marred by wildfires; many wineries skipped the vintage entirely, fearing smoke taint. Trust your favorites  Norris Pinot Noir Ribbon Ridge  Top-scoring wines (click for full tasting note):


Holocene Pinot Noir Yamhill-Carlton Memorialis


Soléna Pinot Noir McMinnville Hyland Vineyard


Norris Pinot Noir Ribbon Ridge",United States,Oregon,Pinot Noir,0.4875904145538345,3.53500264986138,57.0,5.0,0.434020618556701,8.0,165.0,41.0,11.283870967741931,42.6
2019,97,Drink or hold,"Warm summer tempered by rain near harvest led to classic Oregon-style Pinots, with bright structures and floral aromas  Bergström Pinot Noir Chehalem Mountains Silice  Top-scoring wines (click for full tasting note):


Résonance Pinot Noir Yamhill-Carlton Résonance Vineyard


Beaux Frères Pinot Noir Ribbon Ridge Sequitur


Bergström Pinot Noir Chehalem Mountains Silice",United States,Oregon,Pinot Noir,0.4176056271050163,3.136130383187102,39.0,4.0,0.678238341968912,4.0,148.0,21.0,10.894354838709676,55.7
