Vintage,Score,Drink Window,Description,Country,Region,Variety
2016,84,Drink,"Lower-alcohol and higher-acidity wines dominate in another cool, wet vintage, with dramatically lower yields in Mendoza and Salta. The best are fresh and juicy  Viña Cobos Malbec La Consulta Bramare Rebon Estate  Top-scoring wines (click for full tasting note):


Viña Cobos Malbec Perdriel Cobos Marchiori Estate Block C2


Matervini Malbec Cafayate Valley Alteza


Viña Cobos Malbec La Consulta Bramare Rebon Estate",United States,Washington,"Merlot, Cabernet and Syrah"
2015,85,Drink,"Wetter than 2014, with botrytis rot in some vineyards, hitting Cabernet Sauvignon the hardest; better for white wines  Viña Cobos Malbec Perdriel Cobos Marchiori Estate  Top-scoring wines (click for full tasting note):


Bodega Piedra Negra Chacayes Los Chacayes


Bodega Catena Zapata Malbec Mendoza Adrianna Vineyard Fortuna Terrae


Viña Cobos Malbec Perdriel Cobos Marchiori Estate",United States,Washington,"Merlot, Cabernet and Syrah"
2014,87,Drink,"Late-season rains proved challenging for vintners; diligent work in the vineyards resulted in some high quality releases; Salta succeeded  Viña Cobos Malbec La Consulta Bramare Rebon Vineyard  Top-scoring wines (click for full tasting note):


Bodega Catena Zapata Malbec Mendoza Adrianna Vineyard Fortuna Terrae


Viña Cobos Malbec Mendoza Marchiori Vineyard


Viña Cobos Malbec La Consulta Bramare Rebon Vineyard",United States,Washington,"Merlot, Cabernet and Syrah"
2013,90,Drink,"Cool weather produced fresh wines, with balanced acidity and tannins; lower alcohol levels  Viña Cobos Malbec La Consulta Bramare Rebon Vineyard  Top-scoring wines (click for full tasting note):


Alta Vista Alto Mendoza


Dominio del Plata Nosotros Single Vineyard Nomade Uco Valley


Viña Cobos Malbec La Consulta Bramare Rebon Vineyard",United States,Washington,"Merlot, Cabernet and Syrah"
2012,87,Drink,"What began as a hot vintage finished with unusually heavy rains in February and cool and cloudy conditions in March, delaying harvest up to two weeks  (See all ratings)",United States,Washington,"Merlot, Cabernet and Syrah"
2011,91,Drink,"Challenging vintage, with frost, high winds, hail, drought, cold and rain; yet naturally low yields and warm Indian summer yielded ripe fruit balanced with fresh acidity  (See all ratings)",United States,Washington,"Merlot, Cabernet and Syrah"
2010,89,Past peak,"Cool and cloudy; spring frost reduced yields in some areas, but a late harvest allowed the remaining grapes to evenly mature, with slightly lower alcohol levels  (See all ratings)",United States,Washington,"Merlot, Cabernet and Syrah"
2009,88,Past peak,"Growing season marked by La Niña; warm and very dry, with a heat spike during veraison, though Malbec tolerated it well. Whites less consistent; yields low  (See all ratings)",United States,Washington,"Merlot, Cabernet and Syrah"
2008,86,Past peak,"Cool, wet weather in first half of season; late April frost hit crop hard in parts of Mendoza. Some successes, but reds picked after frost can be off-kilter; choose carefully  (See all ratings)",United States,Washington,"Merlot, Cabernet and Syrah"
2007,88,Past peak,"Up-and-down season, with hail, cold and rain; wines have lower alcohols and softer tannins. Late-ripening spots in Mendoza (La Consulta, Altamira) strongest  (See all ratings)",United States,Washington,"Merlot, Cabernet and Syrah"
2006,91,Past peak,"Cool but dry season, with harvest stretching into April and May. Consistent for all major varieties; top Malbecs show excellent purity, balance and poise  (See all ratings)",United States,Washington,"Merlot, Cabernet and Syrah"
2005,90,Past peak,"Cool temperatures early in the season led to reduced yields, but warm, dry March and April helped ripen grapes; late-ripening Malbec and Cabernet Sauvignon excelled  (See all ratings)",United States,Washington,"Merlot, Cabernet and Syrah"
2004,90,Past peak,"Warm, dry season with Malbec the star; some heavy rains late in the season led to variable Cabernet Sauvignon  (See all ratings)",United States,Washington,"Merlot, Cabernet and Syrah"
2003,91,Past peak,"February heat wave during a long, dry season led to some inconsistencies, but Malbec excellent  (See all ratings)",United States,Washington,"Merlot, Cabernet and Syrah"
2002,94,Past peak,"Stellar growing season with optimal harvest conditions yielded racy, ripe fruit. Best vintage in a generation, with all varieties performing well  (See all ratings)",United States,Washington,"Merlot, Cabernet and Syrah"
2001,87,Past peak,"Cool growing season, with the harvest dampened by some rain. Cabernet Sauvignon generally better than Malbec  (See all ratings)",United States,Washington,"Merlot, Cabernet and Syrah"
2000,86,Past peak,"Cool and wet, but a long growing season allowed for a late-ripening harvest. Malbec generally better than Cabernet Sauvignon  (See all ratings)",United States,Washington,"Merlot, Cabernet and Syrah"
1999,90,Past peak,"Dry, sunny growing season; small crop of ripe, concentrated reds with rich tannins  (See all ratings)",United States,Washington,"Merlot, Cabernet and Syrah"
1998,75,Past peak,Harvest decimated by El Niño rains; many producers didn't release wines  (See all ratings),United States,Washington,"Merlot, Cabernet and Syrah"
1997,88,Past peak,"Drought year produced concentrated, burly reds  (See all ratings)",United States,Washington,"Merlot, Cabernet and Syrah"
2021,90–93,NYR,"Hottest growing season on record produced reds of power and density  Sleight of Hand Syrah Columbia Valley Levitation Reserve  Top-scoring wines (click for full tasting note):


Betz Syrah Walla Walla Valley Domaine de Pierres Ancient Stones Vineyard


Gorman Syrah-Cabernet Sauvignon Red Mountain The Evil Twin


Sleight of Hand Syrah Columbia Valley Levitation Reserve",Argentina,Mendoza,Mendoza
2020,90,Drink or hold,"A hot summer led to ripe, full-bodied reds; late-summer wildfires caused concern  Leonetti Reserve Walla Walla Valley  Top-scoring wines (click for full tasting note):


Quilceda Creek Cabernet Sauvignon Columbia Valley


Figgins Walla Walla Valley


Leonetti Reserve Walla Walla Valley",Argentina,Mendoza,Mendoza
2019,94,Drink or hold,"Ideal growing season, except for an early October frost; reds are generous and polished  Horsepower Syrah Walla Walla Valley The Tribe Vineyard  Top-scoring wines (click for full tasting note):


Cayuse Syrah Walla Walla Valley Cailloux Vineyard


Cayuse Syrah Walla Walla Valley En Chamberlin Vineyard


Horsepower Syrah Walla Walla Valley The Tribe Vineyard",Argentina,Mendoza,Mendoza
2018,93,Drink or hold,"Cool autumn weather salvaged an otherwise hot year, making for full-bodied yet well-balanced wines  Cayuse Syrah Walla Walla Valley Wallah Wallah Special #12  Top-scoring wines (click for full tasting note):


No Girls Syrah Walla Walla Valley La Paciencia Vineyard


Cayuse Syrah Walla Walla Valley Cailloux Vineyard


Cayuse Syrah Walla Walla Valley Wallah Wallah Special #12",Argentina,Mendoza,Mendoza
2017,90,Drink or hold,"A cool, wet spring led to a hot summer, but moderate weather near harvest helped build expression  Cayuse Syrah Walla Walla Valley Armada Vineyard  Top-scoring wines (click for full tasting note):


K Roma River Rock Vineyard Walla Walla Valley


Betz Syrah Red Mountain La Côte Rousse


Cayuse Syrah Walla Walla Valley Armada Vineyard",Argentina,Mendoza,Mendoza
2016,91,Drink or hold,"A warm spring gave way to a moderate summer, promising balanced but structured wines  Reynvaan Syrah Walla Walla Valley In The Rocks  Top-scoring wines (click for full tasting note):


Force Majeure Parabellum Coulée Red Mountain


Leonetti Reserve Walla Walla Valley


Reynvaan Syrah Walla Walla Valley In The Rocks",Argentina,Mendoza,Mendoza
2015,91,Drink or hold,"Hot, sunny growing season yielded full-bodied reds with ripe flavors and formidable tannins  No Girls Syrah Walla Walla Valley La Paciencia Vineyard  Top-scoring wines (click for full tasting note):


Horsepower Syrah Walla Walla Valley The Tribe Vineyard


K Syrah Walla Walla Valley Powerline


No Girls Syrah Walla Walla Valley La Paciencia Vineyard",Argentina,Mendoza,Mendoza
2014,92,Drink or hold,"Hot growing season produced wines of generosity, with ripe flavors; best achieve balance  K Syrah Walla Walla Valley Powerline Estate  Top-scoring wines (click for full tasting note):


Cayuse Syrah Walla Walla Valley Cailloux Vineyard


Cayuse Syrah Walla Walla Valley En Cerise Vineyard


K Syrah Walla Walla Valley Powerline Estate",Argentina,Mendoza,Mendoza
2013,92,Drink or hold,"Hot summer and cool harvest led to ripe flavors and moderate alcohols; some elevated tannins. Syrah better than Cabernet  Charles Smith Syrah Columbia Valley Royal City Stoneridge Vineyard  Top-scoring wines (click for full tasting note):


Reynvaan Syrah Walla Walla Valley In The Rocks


Cayuse Syrah Walla Walla Valley Cailloux Vineyard


Charles Smith Syrah Columbia Valley Royal City Stoneridge Vineyard",Argentina,Mendoza,Mendoza
2012,95,Drink or hold,Ideal conditions produced powerful wines with elegance  (See all ratings),Argentina,Mendoza,Mendoza
2011,89,Drink,Another cool year; moderate alcohols with crisp balance  (See all ratings),Argentina,Mendoza,Mendoza
2010,91,Drink,Cool year produced crisp reds with lovely ripe flavors  (See all ratings),Argentina,Mendoza,Mendoza
2009,92,Drink or hold,Late year with early frost made fine Merlot and Syrah  (See all ratings),Argentina,Mendoza,Mendoza
2008,95,Drink,Cool summer and warm autumn; many great wines  (See all ratings),Argentina,Mendoza,Mendoza
2007,96,Drink,"Hot summer and cool autumn made rich, balanced wines  (See all ratings)",Argentina,Mendoza,Mendoza
2006,94,Drink,Ripe but balanced; similar to 2005  (See all ratings),Argentina,Mendoza,Mendoza
2005,93,Drink,Ripe flavors but not excessively heavy  (See all ratings),Argentina,Mendoza,Mendoza
2004,91,Drink,Walla Walla wiped out by freeze; rest of state solid  (See all ratings),Argentina,Mendoza,Mendoza
2003,92,Drink,"Ripe vintage, broad and generous  (See all ratings)",Argentina,Mendoza,Mendoza
2002,90,Drink,Ripe but tannic  (See all ratings),Argentina,Mendoza,Mendoza
2001,91,Drink,Hot vintage; ripe wines  (See all ratings),Argentina,Mendoza,Mendoza
2000,90,Drink,Warm vintage with balanced reds  (See all ratings),Argentina,Mendoza,Mendoza
2021,NYR,NYR,"An atypical harvest requiring patience and technical expertise, with cool temperatures and rain slowing ripening; reds are concentrated as a result, yet relatively lower in alcohol, while yields were average or slightly below  Bodega Catena Zapata Malbec Mendoza Argentino  Top-scoring wines (click for full tasting note):


Bodega Catena Zapata Malbec Mendoza Adrianna Vineyard Fortuna Terrae


Bodega Catena Zapata Malbec Mendoza Adrianna Vineyard River


Bodega Catena Zapata Malbec Mendoza Argentino",Argentina,Mendoza,Mendoza
2020,92,Drink or hold,"A challenging vintage, with late spring frosts reducing yields and a warm, dry summer causing accelerated ripening. Those who picked before overripening set in made wines with good concentration and freshness  Familia Zuccardi Finca Canal Uco Paraje Altamira  Top-scoring wines (click for full tasting note):


Familia Zuccardi Malbec Gualtallary Finca Las Cerrilladas


Dominio del Plata Susana Balbo Nosotros Single Vineyard Nomade Gualtallary Uco Valley


Familia Zuccardi Finca Canal Uco Paraje Altamira",Argentina,Mendoza,Mendoza
2017,92,Drink or hold,"A return to characteristically dry weather delivers intensely flavored grapes, but yields are low due to a spring frost; refined, terroir-driven Malbec-based wines, especially in prime districts in the Uco Valley  Bodega Catena Zapata Malbec Mendoza Adrianna Vineyard Fortuna Terrae  Top-scoring wines (click for full tasting note):


Matervini Malbec Mendoza Piedras Viejas El Challao-Las Heras


Viña Cobos Malbec Los Árboles Bramare Chañares Estate


Bodega Catena Zapata Malbec Mendoza Adrianna Vineyard Fortuna Terrae",Argentina,Mendoza,Mendoza
2016,84,Drink,"Lower-alcohol and higher-acidity wines dominate in another cool, wet vintage, with dramatically lower yields in Mendoza and Salta. The best are fresh and juicy  Viña Cobos Malbec La Consulta Bramare Rebon Estate  Top-scoring wines (click for full tasting note):


Viña Cobos Malbec Perdriel Cobos Marchiori Estate Block C2


Matervini Malbec Cafayate Valley Alteza


Viña Cobos Malbec La Consulta Bramare Rebon Estate",Argentina,Mendoza,Mendoza
2015,85,Drink,"Wetter than 2014, with botrytis rot in some vineyards, hitting Cabernet Sauvignon the hardest; better for white wines  Viña Cobos Malbec Perdriel Cobos Marchiori Estate  Top-scoring wines (click for full tasting note):


Bodega Piedra Negra Chacayes Los Chacayes


Bodega Catena Zapata Malbec Mendoza Adrianna Vineyard Fortuna Terrae


Viña Cobos Malbec Perdriel Cobos Marchiori Estate",Argentina,Mendoza,Mendoza
2014,87,Drink,"Late-season rains proved challenging for vintners; diligent work in the vineyards resulted in some high quality releases; Salta succeeded  Viña Cobos Malbec La Consulta Bramare Rebon Vineyard  Top-scoring wines (click for full tasting note):


Bodega Catena Zapata Malbec Mendoza Adrianna Vineyard Fortuna Terrae


Viña Cobos Malbec Mendoza Marchiori Vineyard


Viña Cobos Malbec La Consulta Bramare Rebon Vineyard",Argentina,Mendoza,Mendoza
