Vintage,Score,Drink Window,Description,Country,Region,Variety
2013,90,Drink,"Another huge crop of generally high quality; Santa Lucia Highlands is a highlight  Cirq Pinot Noir Russian River Valley Bootlegger's Hill  Top-scoring wines (click for full tasting note):


Boars' View Pinot Noir Sonoma Coast


Brewer-Clifton Pinot Noir Sta. Rita Hills Machado


Cirq Pinot Noir Russian River Valley Bootlegger's Hill",United States,California,Pinot Noir
2012,89,Drink,Record-size crop with atypically tannic wines; best in Santa Lucia Highlands and Sonoma  (See all ratings),United States,California,Pinot Noir
2011,87,Drink,"Rain wreaked havoc at harvest, resulting in lighter wines of uneven quality; Santa Lucia Highlands is the lone bright spot  (See all ratings)",United States,California,Pinot Noir
2010,91,Drink,"Weather extremes tested growers, yet vintage is strong, with structured wines from Santa Barbara and Sonoma  (See all ratings)",United States,California,Pinot Noir
2009,93,Drink,"Superb in Sonoma and very strong elsewhere, with scores of ripe, polished, deeply flavored wines  (See all ratings)",United States,California,Pinot Noir
2008,89,Drink,Uneven year; top wines are complex and delicate  (See all ratings),United States,California,Pinot Noir
2007,93,Drink,"Excellent year; ideal warm, early season, with ripe, complex wines  (See all ratings)",United States,California,Pinot Noir
2006,87,Drink,A cool year with a large crop; uneven ripening and some diluted wines  (See all ratings),United States,California,Pinot Noir
2005,91,Drink,"Sleek, balanced and elegant; large crop that got ripe at lower alcohol  (See all ratings)",United States,California,Pinot Noir
2004,93,Drink,"Excellent year; warm, early year, with ripe, concentrated, deeply flavored wines  (See all ratings)",United States,California,Pinot Noir
2003,90,Drink,"Very good if mixed; the best are rich, supple and harmonious  (See all ratings)",United States,California,Pinot Noir
2002,88,Drink,"Very good; dark, complex wines that have aged well  (See all ratings)",United States,California,Pinot Noir
2001,86,Drink,"A solid year with elegant, delicate, concentrated wines  (See all ratings)",United States,California,Pinot Noir
2000,83,Past peak,"Lean, crisp wines of good quality, with few stars  (See all ratings)",United States,California,Pinot Noir
1999,84,Past peak,"Sonoma and Monterey set the pace in a cooler year,with ripe, fleshy wines  (See all ratings)",United States,California,Pinot Noir
